Date,Ask,Bid,Mid,Spread,without prompt,with prompt
2023-01-11 23:56:00,6.7633,6.7625,6.7629,0.0004,0,0
2023-01-11 23:55:00,6.7636,6.7628,6.7632,0.0004,0,0
2023-01-11 23:54:00,6.7652,6.7643,6.76475,0.00045,0,0
2023-01-11 23:53:00,6.7652,6.7645,6.76485,0.00035,0,0
2023-01-11 23:52:00,6.7652,6.7644,6.7648,0.0004,0,0
2023-01-11 23:51:00,6.7657,6.765,6.76535,0.00035,0,0
2023-01-11 23:50:00,6.7674,6.7665,6.76695,0.00045,0,0
2023-01-11 23:49:00,6.7676,6.7667,6.76715,0.00045,0,0
2023-01-11 23:48:00,6.7677,6.7669,6.7673,0.0004,0,0
2023-01-11 23:47:00,6.768,6.7671,6.76755,0.00045,0,0
2023-01-11 23:46:00,6.7686,6.7678,6.7682,0.0004,0,0
2023-01-11 23:45:00,6.768,6.7672,6.7676,0.0004,0,0
2023-01-11 23:44:00,6.7666,6.7659,6.76625,0.00035,0,0
2023-01-11 23:43:00,6.7666,6.7658,6.7662,0.0004,0,0
2023-01-11 23:42:00,6.7665,6.7658,6.76615,0.00035,0,0
2023-01-11 23:41:00,6.7662,6.7654,6.7658,0.0004,0,0
2023-01-11 23:40:00,6.7662,6.7654,6.7658,0.0004,0,0
2023-01-11 23:39:00,6.7667,6.7658,6.76625,0.00045,0,0
2023-01-11 23:38:00,6.7666,6.7658,6.7662,0.0004,0,0
2023-01-11 23:37:00,6.7663,6.7654,6.76585,0.00045,0,0
2023-01-11 23:36:00,6.7662,6.7654,6.7658,0.0004,0,0
2023-01-11 23:35:00,6.7665,6.7657,6.7661,0.0004,0,0
2023-01-11 23:34:00,6.7658,6.765,6.7654,0.0004,0,0
2023-01-11 23:33:00,6.7662,6.7654,6.7658,0.0004,0,0
2023-01-11 23:32:00,6.7662,6.7655,6.76585,0.00035,0,0
2023-01-11 23:31:00,6.7661,6.7653,6.7657,0.0004,0,0
2023-01-11 23:30:00,6.7666,6.7658,6.7662,0.0004,0,0
2023-01-11 23:29:00,6.7673,6.7665,6.7669,0.0004,0,0
2023-01-11 23:28:00,6.7674,6.7666,6.767,0.0004,0,0
2023-01-11 23:27:00,6.7673,6.7665,6.7669,0.0004,0,0
